PIDN,ARC_L__median_len_clean,ARC_R__median_len_clean,ATR_L__median_len_clean,ATR_R__median_len_clean,CGC_L__median_len_clean,CGC_R__median_len_clean,CST_L__median_len_clean,CST_R__median_len_clean,FA__median_len_clean,FP__median_len_clean,IFO_L__median_len_clean,IFO_R__median_len_clean,ILF_L__median_len_clean,ILF_R__median_len_clean,SLF_L__median_len_clean,SLF_R__median_len_clean,UNC_L__median_len_clean,UNC_R__median_len_clean,VOF_L__median_len_clean,VOF_R__median_len_clean,pARC_L__median_len_clean,pARC_R__median_len_clean,whole_brain__median_len_clean,ARC_L__n_streamlines_clean,ARC_R__n_streamlines_clean,ATR_L__n_streamlines_clean,ATR_R__n_streamlines_clean,CGC_L__n_streamlines_clean,CGC_R__n_streamlines_clean,CST_L__n_streamlines_clean,CST_R__n_streamlines_clean,FA__n_streamlines_clean,FP__n_streamlines_clean,IFO_L__n_streamlines_clean,IFO_R__n_streamlines_clean,ILF_L__n_streamlines_clean,ILF_R__n_streamlines_clean,SLF_L__n_streamlines_clean,SLF_R__n_streamlines_clean,UNC_L__n_streamlines_clean,UNC_R__n_streamlines_clean,VOF_L__n_streamlines_clean,VOF_R__n_streamlines_clean,pARC_L__n_streamlines_clean,pARC_R__n_streamlines_clean,whole_brain__n_streamlines_clean,ARC_L__FA_median,ARC_L__MD_median,ARC_R__FA_median,ARC_R__MD_median,ATR_L__FA_median,ATR_L__MD_median,ATR_R__FA_median,ATR_R__MD_median,CGC_L__FA_median,CGC_L__MD_median,CGC_R__FA_median,CGC_R__MD_median,CST_L__FA_median,CST_L__MD_median,CST_R__FA_median,CST_R__MD_median,FA__FA_median,FA__MD_median,FP__FA_median,FP__MD_median,IFO_L__FA_median,IFO_L__MD_median,IFO_R__FA_median,IFO_R__MD_median,ILF_L__FA_median,ILF_L__MD_median,ILF_R__FA_median,ILF_R__MD_median,SLF_L__FA_median,SLF_L__MD_median,SLF_R__FA_median,SLF_R__MD_median,UNC_L__FA_median,UNC_L__MD_median,UNC_R__FA_median,UNC_R__MD_median,VOF_L__FA_median,VOF_L__MD_median,VOF_R__FA_median,VOF_R__MD_median,pARC_L__FA_median,pARC_L__MD_median,pARC_R__FA_median,pARC_R__MD_median
33658,194,206,155,156,172,165,214,196,195,294,306,279,223,219,152,151,151,164,66,85,112,120,174,1686,535,1482,1025,1496,721,3698,4356,1848,37,487,596,1327,1189,580,845,1262,3382,2509,3478,1308,794,34641,0.51388486,0.00064015,0.48353011,0.00064999,0.37183595,0.00062482,0.35146763,0.00063307,0.51070873,0.00063394,0.47543284,0.00061929,0.53417845,0.00056328,0.51346981,0.00058888,0.48471276,0.00065557,0.61602723,0.0006958,0.49578784,0.00064875,0.52832121,0.00066203,0.50658785,0.00066641,0.53834001,0.00069241,0.47167493,0.0006261,0.45330233,0.00063128,0.40952458,0.00065397,0.41329821,0.00066216,0.45781569,0.00066646,0.49222198,0.00065542,0.49765863,0.00064705,0.49026391,0.00065484
27178,181,181,139,138,173,166,182,190,162,276,273,259,199,189.5,148,140,151,144,72,97,111,83,152,1765,374,1890,2442,1580,1116,2410,2358,1280,431,139,661,414,804,337,1211,2047,2059,598,1587,1447,1805,28755,0.48986666,0.0006691,0.46842121,0.00068913,0.36514798,0.00059708,0.37079392,0.0005984,0.43300706,0.00060705,0.40867317,0.00061401,0.48757887,0.00055589,0.50094982,0.00055385,0.41825096,0.00066039,0.68306197,0.00075398,0.48953367,0.00069493,0.4801838,0.00068915,0.49480996,0.00073093,0.44352598,0.00073382,0.45136417,0.00062978,0.4446705,0.00067224,0.39771642,0.00068067,0.40710116,0.00067039,0.43034318,0.00068398,0.48299594,0.0006757,0.49849157,0.000675,0.46776116,0.00069597
21039,219,211,156,152,212,190,210,218.5,185,280,289,293,198,203,117,154,154,151,95,94.5,117,93,182,2464,369,1125,1292,2024,1262,2257,2130,1309,455,1117,1297,1246,567,929,1811,992,2183,1125,358,1474,1735,29521,0.52164064,0.00065159,0.50242882,0.00065197,0.4523966,0.00066816,0.45041605,0.00064554,0.55955088,0.00069513,0.55322667,0.00067704,0.58509555,0.00064779,0.56764894,0.00063535,0.57265114,0.00064635,0.70806205,0.00067638,0.5698117,0.00070676,0.59635141,0.0006948,0.5452708,0.00074501,0.521485,0.00071447,0.5201114,0.0006128,0.518043,0.0006022,0.45728121,0.00073745,0.50211584,0.0007252,0.49601222,0.00062231,0.5250592,0.00062176,0.54414424,0.00066264,0.50137689,0.00065317
33844,221,210,150,151,172,165,212,219,184,289,286,271,204,203,114.5,150,122,146,107,79,125,114,168,1133,2124,1917,2436,1546,197,3274,1997,2813,115,1095,1024,900,1219,1072,923,2523,3081,1044,1774,562,2363,35132,0.4929654,0.00063209,0.48975778,0.00063338,0.37922475,0.000602,0.38553236,0.00060802,0.51089072,0.00061103,0.48491819,0.00062176,0.55500551,0.00057811,0.57545824,0.00058985,0.46347113,0.0006395,0.62362437,0.00070572,0.50211501,0.00064497,0.52246243,0.00066215,0.50334163,0.00067577,0.53040934,0.00068984,0.46603843,0.00062689,0.4884734,0.00063283,0.39570049,0.00066883,0.4049609,0.0006626,0.48510691,0.00065796,0.45837909,0.00065928,0.48756174,0.00063943,0.46777207,0.00064459
28747,205,231,171,163,201,201,192,195,190,286,290,291,206,219,142.5,151,101,92,77,73,131,112,187,1922,739,1824,2084,1134,1125,2126,1960,3563,439,1068,1044,722,1188,636,2114,973,875,118,179,930,192,26955,0.55584578,0.00059728,0.47473562,0.00063508,0.41529262,0.00061556,0.41838756,0.00059713,0.55247717,0.0005848,0.49885314,0.00059659,0.51786758,0.00054133,0.50211509,0.0005433,0.50224976,0.00064781,0.66629694,0.00068895,0.51225297,0.00063521,0.49294897,0.00063047,0.54493674,0.00064771,0.49091958,0.00065405,0.50064767,0.00058333,0.51462998,0.00057966,0.39252627,0.00063439,0.40000224,0.00068086,0.41709615,0.00062834,0.44018347,0.00063818,0.55592958,0.00060424,0.46756677,0.00064819
25628,194,211,149,152,195,169,183,190,165,275,281,272,204,226,129,150,158,88,69,111,117,122,161,1382,454,1667,2461,1540,716,2182,2154,1491,59,386,986,912,379,1548,1421,971,1516,1857,1740,467,230,26519,0.54288716,0.00061967,0.50379579,0.00063683,0.39951768,0.00057094,0.39807268,0.00057514,0.50260001,0.00059588,0.43713749,0.00061665,0.53521044,0.00052934,0.54298841,0.00054441,0.48035967,0.00062805,0.61962643,0.00068189,0.53610369,0.00063791,0.50183976,0.00063781,0.47496408,0.00066942,0.45904762,0.00066372,0.49773072,0.00060065,0.49827462,0.00058539,0.43328844,0.00064197,0.37056885,0.00066918,0.44021266,0.00068552,0.48102852,0.00066607,0.54477527,0.00062842,0.50466381,0.00065635
34124,209,190.5,157,164,179,179,213,204,196,290,296,265,202,201,170,177,84,93,76,88.5,108,126,184,589,288,1825,1956,1392,636,2551,2335,946,71,1383,1433,1560,1503,1864,818,609,2149,111,316,660,630,25625,0.49444321,0.00063039,0.48546418,0.00063213,0.37903197,0.00057086,0.36684983,0.00059849,0.46599788,0.00056692,0.44118336,0.00057507,0.49624039,0.00052374,0.50115361,0.00054507,0.44411734,0.00064131,0.69033808,0.00067078,0.52614786,0.00064747,0.50986522,0.00065667,0.52670131,0.00067246,0.49857376,0.00066777,0.49420798,0.00058954,0.48290577,0.00058983,0.38215509,0.00065395,0.39753831,0.00065646,0.4283054,0.00067255,0.47034274,0.00066309,0.48548017,0.00067335,0.51430531,0.00064368
20631,243,261,155,157,186,205,205,236,186,309,296,283,225,209,169,184,111,148,78,78,109,122,192,592,155,1644,817,1215,2333,2295,2320,745,27,1315,1458,785,766,906,1338,1158,1884,405,578,908,565,24209,0.50594255,0.00067359,0.49251086,0.0006757,0.46820398,0.00068716,0.42229445,0.0006958,0.58726438,0.00072236,0.53812481,0.00071299,0.56641035,0.00066736,0.58636948,0.00065807,0.61281282,0.00068342,0.70447508,0.00068057,0.5959974,0.00071985,0.5830185,0.00072502,0.51167719,0.00073637,0.58229701,0.00072198,0.5137505,0.00064363,0.50233059,0.00064145,0.42958404,0.00079133,0.50490247,0.00072458,0.39642527,0.00064594,0.45429984,0.0006878,0.50149551,0.00068138,0.49738378,0.00069436
33648,211,167,145,145,192,193,201,201,181,296,272,267,140,203,162,139,134,157,94,82,114,95,167,1308,471,1730,1350,1487,2222,3773,2305,2167,52,406,607,228,368,1847,2467,2037,3018,537,1344,916,1395,32035,0.54089986,0.00060427,0.51732585,0.00062637,0.46357068,0.00058874,0.43559607,0.00059093,0.53988902,0.000598,0.50685808,0.00060044,0.54247335,0.00055613,0.5326599,0.00055132,0.49278871,0.00064204,0.65013904,0.00067637,0.46742938,0.00064305,0.51370844,0.00062865,0.45580206,0.00066783,0.50278276,0.0006474,0.51479291,0.00059456,0.53206078,0.00060826,0.42051541,0.00064849,0.41344133,0.0006175,0.48406704,0.00063627,0.47164102,0.00065576,0.54089986,0.00061834,0.51075936,0.00063045
33560,215,209,152,152,195,201,210,215,189,278,294,283,140,212,130,149,176,158,74,101,139,122.5,164,1880,152,2274,1930,1190,1257,2531,2764,890,20,202,441,357,487,742,1585,1401,1979,2673,1526,1356,1654,29291,0.52433196,0.00065716,0.4982901,0.00066913,0.41481923,0.00058391,0.39860449,0.00059709,0.50198932,0.0006087,0.44135885,0.00061524,0.56010989,0.0005439,0.55025488,0.00055424,0.43234556,0.00064659,0.61060301,0.00070566,0.4693398,0.00069214,0.47842131,0.00068879,0.40706637,0.00069998,0.44653771,0.00071654,0.51083368,0.00064657,0.48326267,0.00061997,0.42647358,0.00063341,0.42333911,0.00065858,0.4477724,0.0006868,0.47699739,0.00068721,0.541385,0.00066535,0.50846387,0.0006816
