PIDN,ARC_L__median_len_clean,ARC_R__median_len_clean,ATR_L__median_len_clean,ATR_R__median_len_clean,CGC_L__median_len_clean,CGC_R__median_len_clean,CST_L__median_len_clean,CST_R__median_len_clean,FA__median_len_clean,FP__median_len_clean,IFO_L__median_len_clean,IFO_R__median_len_clean,ILF_L__median_len_clean,ILF_R__median_len_clean,SLF_L__median_len_clean,SLF_R__median_len_clean,UNC_L__median_len_clean,UNC_R__median_len_clean,VOF_L__median_len_clean,VOF_R__median_len_clean,pARC_L__median_len_clean,pARC_R__median_len_clean,whole_brain__median_len_clean,ARC_L__n_streamlines_clean,ARC_R__n_streamlines_clean,ATR_L__n_streamlines_clean,ATR_R__n_streamlines_clean,CGC_L__n_streamlines_clean,CGC_R__n_streamlines_clean,CST_L__n_streamlines_clean,CST_R__n_streamlines_clean,FA__n_streamlines_clean,FP__n_streamlines_clean,IFO_L__n_streamlines_clean,IFO_R__n_streamlines_clean,ILF_L__n_streamlines_clean,ILF_R__n_streamlines_clean,SLF_L__n_streamlines_clean,SLF_R__n_streamlines_clean,UNC_L__n_streamlines_clean,UNC_R__n_streamlines_clean,VOF_L__n_streamlines_clean,VOF_R__n_streamlines_clean,pARC_L__n_streamlines_clean,pARC_R__n_streamlines_clean,whole_brain__n_streamlines_clean,ARC_L__FA_median,ARC_L__MD_median,ARC_R__FA_median,ARC_R__MD_median,ATR_L__FA_median,ATR_L__MD_median,ATR_R__FA_median,ATR_R__MD_median,CGC_L__FA_median,CGC_L__MD_median,CGC_R__FA_median,CGC_R__MD_median,CST_L__FA_median,CST_L__MD_median,CST_R__FA_median,CST_R__MD_median,FA__FA_median,FA__MD_median,FP__FA_median,FP__MD_median,IFO_L__FA_median,IFO_L__MD_median,IFO_R__FA_median,IFO_R__MD_median,ILF_L__FA_median,ILF_L__MD_median,ILF_R__FA_median,ILF_R__MD_median,SLF_L__FA_median,SLF_L__MD_median,SLF_R__FA_median,SLF_R__MD_median,UNC_L__FA_median,UNC_L__MD_median,UNC_R__FA_median,UNC_R__MD_median,VOF_L__FA_median,VOF_L__MD_median,VOF_R__FA_median,VOF_R__MD_median,pARC_L__FA_median,pARC_L__MD_median,pARC_R__FA_median,pARC_R__MD_median
21741,216,200,153,160,180,183,201,230,182,294.5,298,284,209,202,140,142,97,162,106,104,112,107,181,1247,405,779,1248,1627,1097,2055,2423,1089,336,216,423,349,1217,713,756,576,1428,572,293,1286,481,20616,0.48451892,0.00068002,0.4815051,0.00068615,0.44399841,0.00067295,0.37641019,0.00068449,0.5362193,0.00070439,0.52240496,0.00070336,0.58024785,0.00064702,0.56675555,0.00063917,0.49910091,0.00068255,0.68035528,0.00071243,0.50944542,0.00073232,0.56183571,0.00069459,0.5060901,0.00077432,0.51993588,0.00073988,0.49546628,0.00064612,0.49136515,0.00063282,0.36369059,0.00079058,0.46095455,0.00071944,0.42849104,0.00069382,0.44695242,0.00069045,0.4679764,0.00068337,0.46714423,0.00069611
34137,183,233,144,158.5,201,180,205,210,177,272,273,278,200,203,126,139,121,101,92,86,95.5,105,184,4217,5287,223,312,2184,2397,2012,3094,1320,220,1472,1200,974,963,2553,4070,1401,2050,687,905,644,625,38810,0.46123869,0.00064701,0.47209521,0.00065314,0.33599224,0.00059846,0.39898638,0.00059521,0.51328531,0.00061556,0.47055318,0.00061518,0.51616442,0.00055839,0.5165538,0.00056644,0.41047145,0.00066287,0.67777488,0.00069403,0.50304553,0.00066101,0.52727774,0.00066191,0.52593921,0.00069041,0.51550453,0.00069069,0.4677569,0.00063562,0.49064438,0.00062932,0.3640198,0.00065572,0.40511551,0.00065474,0.46633714,0.00067772,0.43893546,0.00068526,0.43271517,0.00065402,0.47731472,0.00067188
33726,186,189,164,163,177,186,208,209,198,266,295,274,212,210,114,104.5,97,120.5,89,75,133,128,175,1843,1420,1333,1065,1695,1016,2683,2665,781,380,836,476,1143,1070,655,1634,700,1652,2688,1662,326,309,28032,0.49576703,0.00063852,0.48605029,0.00064673,0.3690567,0.00060443,0.36530225,0.00061658,0.52498878,0.00059834,0.52267156,0.00060661,0.52618688,0.00054716,0.53604533,0.00057027,0.43767557,0.00060944,0.67940012,0.00065966,0.50564791,0.00063434,0.5158348,0.00064938,0.4738202,0.0006595,0.47920002,0.00066589,0.46292585,0.00060045,0.48844851,0.00060285,0.39996245,0.00065762,0.42739466,0.0006408,0.47200368,0.00064484,0.46273384,0.00064534,0.48415729,0.00064401,0.4753709,0.00065173
28792,188,182,161,171,168,157,187,198,185,269.5,277,275,193,199,114,120,98,124,83,79,107,115,172,2198,638,2198,1784,2278,1159,3546,3281,1732,398,1952,1910,1519,871,1143,3269,805,1433,815,967,566,1730,36192,0.49049656,0.00063549,0.47469332,0.00066662,0.38210523,0.00059269,0.3761061,0.0006084,0.48811162,0.00061183,0.46599253,0.00061308,0.48807551,0.000544,0.49981057,0.00055657,0.4400825,0.00066696,0.59597331,0.00073021,0.51891818,0.00064481,0.48862428,0.00065109,0.48565605,0.00067029,0.4724617,0.00068253,0.46423086,0.00061702,0.47556643,0.00061189,0.35709662,0.00065571,0.39441069,0.00065296,0.44063159,0.00067875,0.4083153,0.00068019,0.49546111,0.00064666,0.46920676,0.00067281
21243,219,205,152,165,177,196,217,224,188,282,282,281,205,212,155,161,159,153,76,79,134,126,168,133,135,2634,2495,1038,1040,2665,1805,1947,61,730,918,587,491,291,444,928,2402,1335,1235,768,2149,26231,0.46395025,0.00072879,0.46851013,0.00075707,0.40809118,0.00071676,0.36772083,0.00072298,0.48874658,0.00077438,0.52603204,0.00073487,0.56471127,0.00069495,0.55537476,0.0006761,0.53320349,0.00072299,0.70169574,0.00075148,0.55364444,0.00077732,0.52215391,0.00076448,0.51860734,0.00081905,0.45793843,0.00080445,0.46991039,0.00073586,0.50882332,0.00072923,0.43897559,0.00077142,0.45146431,0.00078412,0.42102356,0.00072788,0.38334788,0.00072716,0.45879113,0.00073988,0.46851013,0.00077132
33978,183,172,134,134,174,173,204,208,160,255,266,255,200,183,136,106,146,121,61,85,111,114,150,1635,301,2321,1601,2364,1248,2486,2970,892,157,639,699,164,725,3486,843,2198,2010,1151,1504,505,1842,31741,0.52083459,0.00063718,0.48868733,0.00064619,0.40045755,0.00056024,0.41464372,0.00057262,0.49661012,0.00058687,0.47098265,0.00058274,0.55456162,0.00054728,0.52573853,0.00055571,0.43433225,0.0006082,0.71330373,0.00066969,0.52073553,0.00064082,0.49496632,0.00065055,0.47277609,0.00068905,0.4952277,0.00068549,0.50486986,0.00060435,0.47785823,0.00064351,0.41313482,0.00064327,0.40482027,0.00066101,0.46952935,0.00067188,0.50340334,0.00066246,0.55866815,0.00064377,0.48824703,0.00065101
20895,187,178,133,137,193,155,186,206,182,280,286,272,196,194,130.5,156,156,154,71,57,125,124,172,1563,415,747,777,1945,628,1433,2030,978,548,344,284,1190,1503,456,616,1310,2654,1200,420,259,405,21705,0.55029669,0.00066652,0.52595418,0.00066186,0.48811645,0.0006574,0.48785483,0.00065315,0.53800544,0.00070278,0.51131284,0.00067789,0.54924038,0.00064802,0.56515538,0.00062789,0.55265844,0.00066235,0.68456671,0.00072925,0.52234574,0.00068643,0.5051644,0.00068731,0.52405392,0.00073457,0.54499498,0.0007123,0.50480218,0.00065316,0.4726519,0.0006637,0.43606427,0.00075175,0.46617735,0.00071375,0.39708751,0.0006474,0.33823522,0.00064936,0.53460901,0.00066991,0.52771624,0.00066859
21196,216,173,147,152,194,200,208,209,191,279,278,280,211,209,129,137,147,146,98,81,120,119,185,1193,819,1678,1390,2517,1420,1868,2759,3889,1010,959,740,1317,1336,909,1025,1640,2863,1125,509,930,929,32825,0.50447879,0.00064647,0.5587311,0.0006262,0.45940965,0.00063545,0.46204591,0.00063854,0.53075477,0.00066676,0.52077023,0.00065326,0.57991342,0.00064657,0.59352629,0.00062077,0.58202037,0.00062798,0.7887174,0.00070433,0.54619366,0.0006742,0.57824791,0.0006718,0.51457659,0.00073551,0.5334443,0.00067074,0.51840051,0.00063975,0.49637153,0.00060209,0.42936944,0.00073174,0.50602758,0.00071765,0.46746176,0.00062731,0.46035699,0.00063087,0.49926754,0.00065333,0.5587311,0.00063532
33714,233,225.5,174,178,214,204,223,214,204,283.5,317,310,243,245,165.5,166,95,111,95,85,151,129,185,536,154,2036,1415,2115,1141,2135,3085,439,192,640,901,1421,1309,1546,2097,514,2107,2097,3320,1051,442,30693,0.47178248,0.0006398,0.45240672,0.00065357,0.36835063,0.00060391,0.38354311,0.00062976,0.48117454,0.00058541,0.46070724,0.00058833,0.46788758,0.00054787,0.49304748,0.00056679,0.46251854,0.00062907,0.5790305,0.00066703,0.50802832,0.00064617,0.50309926,0.00068269,0.48448053,0.00068778,0.46896662,0.00071497,0.48147563,0.0005995,0.49652359,0.00061364,0.34879503,0.00067883,0.37428845,0.00070576,0.45393843,0.00066932,0.48611796,0.00067436,0.48083807,0.00064645,0.48295193,0.00066424
31614,186,192,150,156,195,197,237,223,191,285,288,269,208,204,137,138,137,124,71,82,127,135,180,1612,2802,3180,1335,2187,1316,2767,4747,900,90,1380,1693,1375,1060,468,1145,1161,852,1965,2443,2035,1544,38057,0.52483791,0.00059572,0.50358149,0.00060435,0.4262174,0.00056755,0.37347141,0.00058967,0.54827147,0.00057215,0.52696835,0.00057523,0.53328898,0.00052716,0.53557595,0.00054451,0.4851549,0.00060677,0.69051046,0.00063575,0.51776904,0.00060672,0.51639336,0.00061477,0.51039254,0.00061531,0.50122312,0.00062456,0.50339983,0.00058687,0.50703161,0.00057849,0.41165174,0.00060478,0.42232867,0.00059663,0.43527014,0.00062097,0.42672379,0.00062347,0.51577499,0.00060494,0.51914561,0.00060878
27805,225,208,156,158,197,195,209,218,175,297,307,295,226,213,149,151,123,131,82,95,113,119,169,1471,288,1064,2767,2285,1692,2725,2863,1708,41,855,786,580,835,593,1643,1261,1908,4145,1578,369,693,32150,0.48460638,0.00064556,0.46301896,0.00066487,0.35161491,0.00062406,0.35415301,0.00061159,0.4808527,0.00059528,0.45508589,0.00059908,0.53946174,0.00053977,0.50278669,0.00053961,0.43545811,0.00065131,0.5771149,0.00072477,0.50390851,0.00066778,0.48757544,0.00066393,0.50619715,0.00071226,0.48396913,0.00070491,0.48118766,0.00062949,0.49827059,0.00062036,0.38251239,0.00066957,0.3872487,0.00067149,0.45206004,0.00069952,0.45375644,0.00068617,0.50757618,0.00066063,0.47808018,0.00067436
20912,195,193,154,155,189,182,215,222,199,273,286,285,213,214,141,136,165,159,94,82,116,129,189,3050,1777,907,859,1903,1090,3517,4061,1075,674,347,704,661,870,949,1840,2704,2576,396,738,636,348,31682,0.48123904,0.0006627,0.52540648,0.00068311,0.44213313,0.00066443,0.41683214,0.00064794,0.52124345,0.00069314,0.51405515,0.00070746,0.57683786,0.00063847,0.57812636,0.00064798,0.58919885,0.00068214,0.73900844,0.00072456,0.52618846,0.00069806,0.54810575,0.00071102,0.49849905,0.00070839,0.53277081,0.00075424,0.4850214,0.00065409,0.5275918,0.00063343,0.45641527,0.00073492,0.47260185,0.00072777,0.48021704,0.00064632,0.44235895,0.00064584,0.46964749,0.00066649,0.52498559,0.00069615
29390,195,202,147,149,170,187,211,214,188,286,290.5,276,218,213,153.5,138,113,82,108,101,145,122.5,163,2461,457,1259,1162,1993,1872,2593,1539,1296,232,542,774,979,1283,398,3147,2143,1056,1795,2318,1630,1100,32029,0.49443391,0.00061017,0.48116016,0.00063231,0.36107726,0.00056686,0.38385172,0.0005489,0.5151712,0.00055577,0.51416354,0.00055395,0.51148027,0.00052188,0.53772059,0.00053852,0.42248573,0.00059803,0.61719494,0.00066255,0.5488176,0.00061723,0.54143491,0.00060521,0.51701685,0.00063887,0.48643941,0.00064964,0.44249248,0.00058795,0.4761651,0.00057906,0.40470273,0.00062491,0.43530224,0.00062556,0.47952467,0.00063087,0.46715407,0.00063638,0.48476562,0.00061872,0.48452675,0.00063945
24961,205,216,158,150,181,175.5,219,209,187,274,291,278.5,169,193,142,159,143,126,85,86,104,116,174,2385,2027,1518,2774,1829,1576,3385,3253,1253,25,896,512,602,760,651,3562,2222,2348,1322,3471,539,395,37305,0.47727886,0.00062019,0.48688593,0.00066818,0.37620269,0.00059658,0.35644258,0.0005965,0.48870887,0.00058225,0.4566996,0.00058308,0.55531537,0.00054998,0.53169997,0.0005548,0.419276,0.00065528,0.6128688,0.00070837,0.54099938,0.00064367,0.49236392,0.00066595,0.48814271,0.00064844,0.49044005,0.00068736,0.47249526,0.00060312,0.48983312,0.00059916,0.38615399,0.00065297,0.40057534,0.000657,0.48692391,0.00069704,0.4872719,0.00070105,0.47345561,0.0006242,0.48809321,0.00068375
21976,201,207,153,159,179,194,220,228,188,317,294,295,206,224,138,178,90,105,76,90,117,110,182,3045,593,1320,819,1815,2184,3664,1454,994,250,941,854,1632,1979,1342,1897,666,1104,1626,2035,1769,1093,33076,0.52982299,0.0006312,0.50607261,0.00063236,0.46850908,0.00065115,0.41838848,0.00064929,0.60837483,0.00066825,0.58834344,0.00067052,0.57199012,0.0006273,0.6108031,0.00063246,0.57117771,0.00068584,0.76311594,0.00073813,0.61594074,0.0006848,0.6138484,0.00070923,0.56352088,0.00071289,0.56867763,0.00072241,0.51074245,0.00061548,0.58813219,0.0006184,0.39748899,0.00075829,0.44994464,0.00070282,0.44287617,0.00063054,0.46728748,0.00062025,0.46992849,0.00064227,0.48398747,0.00063687
33503,191,194,155,161,214,185,201,195,180,279,285,277,177,220,121,130,122,117,70,88,132,102,167,835,827,1892,1638,1401,1277,2510,2442,2843,164,926,1428,1241,651,919,1031,719,2285,2551,2208,1034,1356,32178,0.51539103,0.00063798,0.5145174,0.00065166,0.37335993,0.00059126,0.39852891,0.00060332,0.5098307,0.00060632,0.52001083,0.00061062,0.53635229,0.00053892,0.5278759,0.00056109,0.4583764,0.00062916,0.68351746,0.00068142,0.50583476,0.00064699,0.48852194,0.00066744,0.45764918,0.0006748,0.48955988,0.00068922,0.46739274,0.00061625,0.50962646,0.00061208,0.38186925,0.00064614,0.4002645,0.00067957,0.46226947,0.00067919,0.47027091,0.00066712,0.51529613,0.00064726,0.51160785,0.00065598
